사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
2021-02-01,중앙선,용문,1282,1259,2021-02-04
2021-02-01,중앙선,지평,48,43,2021-02-04
2021-02-01,중앙선,아신,415,413,2021-02-04
2021-02-01,중앙선,양수,1463,1466,2021-02-04
2021-02-01,중앙선,운길산,495,463,2021-02-04
2021-02-01,중앙선,팔당,687,662,2021-02-04
2021-02-01,중앙선,도심,2237,1736,2021-02-04
2021-02-01,중앙선,덕소,5139,5082,2021-02-04
2021-02-01,중앙선,양정,721,606,2021-02-04
2021-02-01,중앙선,도농,9067,8349,2021-02-04
2021-02-01,중앙선,구리,12403,12591,2021-02-04
2021-02-01,중앙선,양원,1451,1484,2021-02-04
2021-02-01,중앙선,망우,6789,6608,2021-02-04
2021-02-01,중앙선,상봉(시외버스터미널),5141,5291,2021-02-04
2021-02-01,중앙선,중랑,4988,4730,2021-02-04
2021-02-01,중앙선,회기,20536,20077,2021-02-04
2021-02-01,장항선,신창(순천향대),808,874,2021-02-04
2021-02-01,장항선,온양온천,2930,2893,2021-02-04
2021-02-01,장항선,배방,782,756,2021-02-04
2021-02-01,장항선,아산,2234,2017,2021-02-04
2021-02-01,장항선,쌍용(나사렛대),1542,1431,2021-02-04
2021-02-01,장항선,봉명,1067,1006,2021-02-04
2021-02-01,일산선,대화,12094,9440,2021-02-04
2021-02-01,일산선,주엽,8336,8376,2021-02-04
2021-02-01,일산선,정발산,6451,6330,2021-02-04
2021-02-01,일산선,마두,6852,7257,2021-02-04
2021-02-01,일산선,백석,9341,9269,2021-02-04
2021-02-01,일산선,대곡,1532,1174,2021-02-04
2021-02-01,일산선,화정,15485,16076,2021-02-04
2021-02-01,일산선,원당,10209,9839,2021-02-04
2021-02-01,일산선,삼송,16503,16335,2021-02-04
2021-02-01,일산선,원흥,8704,8307,2021-02-04
2021-02-01,우이신설선,신설동,2056,1993,2021-02-04
2021-02-01,우이신설선,보문,1366,1397,2021-02-04
2021-02-01,우이신설선,성신여대입구(돈암),2779,3040,2021-02-04
2021-02-01,우이신설선,정릉,3961,3878,2021-02-04
2021-02-01,우이신설선,북한산보국문,5197,5178,2021-02-04
2021-02-01,우이신설선,솔샘,5221,5014,2021-02-04
2021-02-01,우이신설선,삼양사거리,2212,2260,2021-02-04
2021-02-01,우이신설선,삼양,1905,2115,2021-02-04
2021-02-01,우이신설선,화계,3073,2957,2021-02-04
2021-02-01,우이신설선,가오리,3807,3824,2021-02-04
2021-02-01,우이신설선,4.19민주묘지,2388,2412,2021-02-04
2021-02-01,우이신설선,솔밭공원,2187,2138,2021-02-04
2021-02-01,우이신설선,북한산우이,1994,1726,2021-02-04
2021-02-01,안산선,수리산,3851,3177,2021-02-04
2021-02-01,안산선,오이도,7257,6960,2021-02-04
2021-02-01,안산선,정왕,6607,7153,2021-02-04
2021-02-01,안산선,신길온천,1463,1335,2021-02-04
2021-02-01,안산선,안산,11178,10119,2021-02-04
2021-02-01,안산선,초지,3954,4005,2021-02-04
2021-02-01,안산선,고잔,7909,7431,2021-02-04
2021-02-01,안산선,중앙,14994,15434,2021-02-04
2021-02-01,안산선,한대앞,7446,7493,2021-02-04
2021-02-01,안산선,상록수,14475,14629,2021-02-04
2021-02-01,안산선,반월,3906,3754,2021-02-04
2021-02-01,안산선,대야미,4377,3976,2021-02-04
2021-02-01,안산선,산본,14494,15511,2021-02-04
2021-02-01,수인선,인천,879,1357,2021-02-04
2021-02-01,수인선,신포,1460,1402,2021-02-04
2021-02-01,수인선,숭의,3469,3273,2021-02-04
2021-02-01,수인선,인하대,4818,4565,2021-02-04
2021-02-01,수인선,송도,2202,2007,2021-02-04
2021-02-01,수인선,연수,3856,3734,2021-02-04
2021-02-01,수인선,원인재,3927,4049,2021-02-04
2021-02-01,수인선,남동인더스파크,2327,2635,2021-02-04
2021-02-01,수인선,호구포,3385,3671,2021-02-04
2021-02-01,수인선,인천논현,5076,5173,2021-02-04
2021-02-01,수인선,소래포구,4147,3922,2021-02-04
2021-02-01,수인선,월곶,2202,2153,2021-02-04
2021-02-01,수인선,달월,82,55,2021-02-04
2021-02-01,수인선,사리,3180,3000,2021-02-04
2021-02-01,수인선,야목,195,152,2021-02-04
2021-02-01,수인선,어천,498,536,2021-02-04
2021-02-01,수인선,오목천,1936,1932,2021-02-04
